gene_symbol	protein_MR_beta	protein_MR_se	protein_MR_p	protein_nsnp	sc_MR_beta	sc_MR_se	sc_MR_p	sc_MR_FDR	sc_nsnp	glycan_id_best	glycan_MR_beta	glycan_MR_se	glycan_MR_p	glycan_MR_FDR	glycan_nsnp	cpg_CpG_best	cpg_MR_beta	cpg_MR_se	cpg_MR_p	cpg_nsnp	cpg_MR_FDR	protein_beta_std	cpg_beta_std	glycan_beta_std	sc_beta_std	MTI_n_layers	MTI_sumsq	MTI_score	pLDDT_mean	pLDDT_sd	pLDDT_low_frac	pLDDT_high_frac	n_atoms	protein_present	sc_present	glycan_present	cpg_present	uniprot_id	pan_family_main	pan_class_main	pan_pathway_main	pan_mf_main	pan_family_pc1	pan_family_pc2	pan_family_pc3	pan_class_pc1	pan_class_pc2	pan_class_pc3	pan_pw_pc1	pan_pw_pc2	pan_pw_pc3	pan_mf_pc1	pan_mf_pc2	pan_mf_pc3	af_len	af_plddt_mean	af_plddt_sd	af_plddt_frac70	af_plddt_frac90	interpro_pc1	interpro_pc2	interpro_pc3	uniprot_pc1	uniprot_pc2	uniprot_pc3	protein_MR_beta_fixed	protein_MR_se_fixed	protein_MR_p_fixed	protein_nsnp_fixed	protein_MR_source_file	protein_MR_FDR_BH	protein_MR_sig_FDR05	protein_MR_FDR_BH_fixed	protein_MR_sig_FDR05_fixed
ACHE	0.155594035463509	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.745356486081269	NA	NA	NA	1	0.555556291343417	0.745356486081269	93.043735668126	14.2394211633081	0.0519074421513446	0.91869918699187	4797	1	0	0	0	Q04844	ACETYLCHOLINE RECEPTOR SUBUNIT EPSILON	ligand-gated ion channel	Nicotinic acetylcholine receptor signaling pathway	transmembrane signaling receptor activity	3.24945231282708e-12	-0.0771261737070865	-1.21704753628834e-13	-0.139879566681629	-0.867192044520646	8.69912071202464	2.99010785532603	-0.959118605694927	0.0474290578382179	0.464142706699958	-0.0973094877140346	-0.808496330824956	493	80.71793103448273	14.83385912877848	0.7849898580121704	0.3083164300202839	-0.0061540800509857	2.548332433328e-4	-0.0043668538326606	-0.0257278567538749	-0.0200493357694288	0.0125524904732273	0.160335999982966	0.0086527963895529	1.18367530530308e-76	84	ACHE_P22303_OID30585_v1_Inflammation_II_MR_LDaware_overlap.tsv	0	TRUE	6.502846905482481e-76	TRUE
ACHE	0.155594035463509	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.745356486081269	NA	NA	NA	1	0.555556291343417	0.745356486081269	93.043735668126	14.2394211633081	0.0519074421513446	0.91869918699187	4797	1	0	0	0	Q04844	ACETYLCHOLINE RECEPTOR SUBUNIT EPSILON	ligand-gated ion channel	Nicotinic acetylcholine receptor signaling pathway	transmembrane signaling receptor activity	3.24945231282708e-12	-0.0771261737070865	-1.21704753628834e-13	-0.139879566681629	-0.867192044520646	8.69912071202464	2.99010785532603	-0.959118605694927	0.0474290578382179	0.464142706699958	-0.0973094877140346	-0.808496330824956	493	80.71793103448273	14.83385912877848	0.7849898580121704	0.3083164300202839	-0.0061540800509857	2.548332433328e-4	-0.0043668538326606	-0.0257278567538749	-0.0200493357694288	0.0125524904732273	0.160335999982966	0.0086527963895529	1.18367530530308e-76	84	ACHE_P22303_OID30585_v1_Inflammation_II_MR_LDaware_overlap.tsv	0	TRUE	6.502846905482481e-76	TRUE
ACOT13	-0.0732195158891193	0.0039057765593103	2.06882505161125e-78	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.350750212969988	NA	NA	NA	1	0.123025711898492	0.350750212969988	96.284472168905907	5.69439420988505	0	0.99232245681382	1042	1	0	0	0	Q9NPJ3	ACYL-COENZYME A THIOESTERASE 13	esterase	NA	protein binding	2.20073217431921e-12	-0.0514002615368695	-4.98941406172984e-14	-0.0845696109453814	-0.397992894571188	3.79559121693057	NA	NA	NA	0.225058470464477	-0.140035704720533	-0.324879776089023	140	96.2872857142857	5.582886202220031	0.9928571428571428	0.9357142857142856	-0.0060896961665184	2.466274545738e-4	-0.0042216065099436	0.0257126384270855	-4.55992594943e-4	0.0067030954056537	-0.0753296147012357	0.0093855341930303	1.00587139844569e-15	84	ACOT13_Q9NPJ3_OID31522_v1_Oncology_II_MR_LDaware_overlap.tsv	8.407412675773435e-78	TRUE	1.8230988795921887e-15	TRUE
ACOX1	-0.161566025088067	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.773964659834294	NA	NA	NA	1	0.599021294672414	0.773964659834294	93.9462153904907	8.92950857407788	0.0181401565781936	0.974794729807142	5237	1	0	0	0	Q15067	PEROXISOMAL ACYL-COENZYME A OXIDASE 1	oxidoreductase	NA	acyl-CoA oxidase activity	2.20108779263178e-12	-0.0514002615368709	-4.9944447598101705e-14	-0.0736846364649363	-0.130932117941438	0.121119101869016	NA	NA	NA	0.246147585129925	0.0884003119237	-0.410186474229341	660	94.03846969696971	8.756518035881513	0.9757575757575756	0.8681818181818182	-0.006214005718046	2.628677705433e-4	-0.0045094306655325	0.020191179544608	-0.0024796161436198	0.0062142029527984	-0.167261374823325	0.0094686729439613	7.8412833138334e-70	84	ACOX1_Q15067_OID20124_v1_Cardiometabolic_MR_LDaware_overlap.tsv	0	TRUE	3.9103047485933787e-69	TRUE
ACP1	0.178044699896246	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.852903978515188	NA	NA	NA	1	0.727445196567035	0.852903978515188	96.1559080095163	8.3061444881604	0.0103092783505155	0.966693100713719	1261	1	0	0	0	P24666	LOW MOLECULAR WEIGHT PHOSPHOTYROSINE PROTEIN PHOSPHATASE	protein phosphatase	NA	acid phosphatase activity	2.20072176597835e-12	-0.0514002615368706	-4.98698544886347e-14	-0.0714614515616876	-0.116316390600179	0.116588500813705	NA	NA	NA	0.302863797306697	-0.12756536547215	-0.504503075719925	158	96.0770253164557	8.448116223960001	0.9683544303797468	0.9556962025316456	-0.0060954830276278	2.47347520321e-4	-0.0042343370443098	0.0187329414550259	0.0130733367303244	-0.0175876322449591	0.184995258320331	0.0090262472480471	2.37329582184328e-93	84	ACP1_P24666_OID30524_v1_Inflammation_II_MR_LDaware_overlap.tsv	0	TRUE	1.6893783161938185e-92	TRUE
ACP5	-0.272714059462166	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.30640735976894	NA	NA	NA	1	1.70670018965846	1.30640735976894	94.8207187017001	13.5305167555959	0.0595054095826893	0.938948995363215	2588	1	0	0	0	P13686	TARTRATE-RESISTANT ACID PHOSPHATASE TYPE 5	phosphatase	NA	acid phosphatase activity	2.20111034403697e-12	-0.0514002615368706	-4.98664871130088e-14	-0.0750874258266655	-0.112273328889578	0.0902660767321683	NA	NA	NA	0.242131927039192	-0.17840011336445	-0.284504924398545	325	94.63446153846144	13.758301486265708	0.9353846153846154	0.916923076923077	-0.006160199167342	2.556858963101e-4	-0.004382027120331	-0.0119357907164905	0.0302878444717105	-0.0104946850777009	-0.280800556340087	0.0084880992023227	5.452435815415259e-240	84	ACP5_P13686_OID20314_v1_Cardiometabolic_MR_LDaware_overlap.tsv	0	TRUE	1.4438050039219606e-238	TRUE
ACP6	4.02336512511e-4	0.0039057765593103	0.917954532590561	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019273497746496	NA	NA	NA	1	3.71467715384216e-6	0.0019273497746496	91.2248107163658	16.9626670995941	0.0777518928363425	0.875655212580081	3434	1	0	0	0	Q9NPH0	LYSOPHOSPHATIDIC ACID PHOSPHATASE TYPE 6	phosphatase	NA	acid phosphatase activity	2.20077207295915e-12	-0.0514002615368706	-4.98854669999185e-14	-0.0750874258266655	-0.112273328889578	0.0902660767321683	NA	NA	NA	0.287170456081531	-0.134941753645332	-0.447914357963936	428	90.89584112149537	17.235099998435356	0.8691588785046729	0.8434579439252337	-0.0061018597610333	2.486476440937e-4	-0.0042524709378285	0.0111460385003375	0.0186918924664173	-0.0060151570207889	-0.0023194053482478	0.0061012123703929	0.703830487413666	84	ACP6_Q9NPH0_OID21432_v1_Oncology_MR_LDaware_overlap.tsv	0.9213429553618686	FALSE	0.7195919423441652	FALSE
ACRBP	-0.111532745859687	0.0039057765593103	2.37677555781375e-179	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.534285618914153	NA	NA	NA	1	0.285461122578479	0.534285618914153	64.0869021612828	26.0757940864673	0.412735300952824	0.515454334185452	4303	1	0	0	0	Q8NEB7	ACROSIN-BINDING PROTEIN	NA	NA	NA	2.20078074657653e-12	-0.0514002615368695	-4.98898038086084e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	543	63.67511970534072	25.895288960797537	0.5064456721915286	0.2430939226519337	-0.0058937270913073	-2.353631089571e-4	-0.0041350646583953	0.007503147506831	0.0104471031062501	0.0303552227151674	-0.115027600731177	0.0093255672555278	5.89450763108079e-35	84	ACRBP_Q8NEB7_OID31385_v1_Oncology_II_MR_LDaware_overlap.tsv	2.0138628026688178e-178	TRUE	1.6947509453965181e-34	TRUE
ACRV1	-0.149471671700937	0.0039057765593103	2.2163821637474201e-293	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.716027961199271	NA	NA	NA	1	0.512696041219185	0.716027961199271	62.6584862385321	24.0724966603716	0.583588175331295	0.348114169215087	1962	1	0	0	0	P26436	ACROSOMAL PROTEIN SP-10	NA	NA	protein binding	2.20068880623231e-12	-0.0514002615368695	-4.98854669999185e-14	NA	NA	NA	NA	NA	NA	0.239372036697794	-0.100909844278204	-0.351031983367951	265	61.73018867924527	23.79100152472161	0.3283018867924528	0.290566037735849	-0.0061371190530275	2.741742006065e-4	-0.0043180979821395	-0.0032723269107519	0.0154750724709894	7.882993001061e-4	-0.153618848076525	0.0060964975409465	4.2252204086146795e-140	84	ACRV1_P26436_OID30513_v1_Inflammation_II_MR_LDaware_overlap.tsv	3.1171357360428133e-292	TRUE	5.0626170325844665e-139	TRUE
ACSL1	0.0111338334795779	0.0039057765593103	0.004363588414142	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0533354313629743	NA	NA	NA	1	0.0028446682386745	0.0533354313629743	90.1631768359518	11.1727787857264	0.010595542564852	0.927109974424553	5474	1	0	0	0	P33121	LONG-CHAIN-FATTY-ACID--COA LIGASE 1	ligase	NA	nucleotide binding	2.20078421602348e-12	-0.0514002615368706	-4.98681197651587e-14	-0.0660446242559446	-0.057613007148778	0.0373254115910375	NA	NA	NA	0.374194052494191	-0.263951750968782	-0.64142084979714	698	90.29932664756448	11.054010356520804	0.9312320916905444	0.7091690544412608	-0.0061072252126498	2.48850415259e-4	-0.0042610677936621	-0.0025176516709344	-0.0103260932880029	-0.0171187138887428	0.0118456236279384	0.0096067055416721	0.217554183743205	84	ACSL1_P33121_OID30080_v1_Cardiometabolic_II_MR_LDaware_overlap.tsv	0.005106217897769453	TRUE	0.23342118255753924	FALSE
